aggregate_id,server_business_paths,adapter_function,write_mode,version_authority,legacy_write_paths,legacy_capture_complete,change_append_function,snapshot_function,permission_check,delete_policy_enforced,status,evidence
BUDGET,budgets,public.verto_apply_sync_adapter_v309,SHADOW_FAIL_CLOSED_NO_APPLIED,verto_sync_snapshot_state.entity_version; legacy writer capture incomplete,budgets,false,public.verto_append_sync_change,public.verto_upsert_sync_snapshot_state/public.verto_remove_sync_snapshot_state,active membership via verto_resolve_sync_scope; domain permission required before APPLIED,public.verto_validate_push_policy_v309,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
CASH_MOVEMENT,cash_register_movements,NONE_SESSION_310,DEFERRED_FAIL_CLOSED,STRONGER_STREAM_AUTHORITY_DEFERRED_310,cash_register_movements,false,N/A,N/A,OWNER_310_STRONGER_PERMISSION_DEFERRED,public.verto_validate_push_policy_v309,DEFERRED_STRONGER_STREAM_310,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
CASH_RECONCILIATION,cash_reconciliation_sessions|cash_denominations,NONE_SESSION_310,DEFERRED_FAIL_CLOSED,STRONGER_STREAM_AUTHORITY_DEFERRED_310,cash_reconciliation_sessions|cash_denominations,false,N/A,N/A,OWNER_310_STRONGER_PERMISSION_DEFERRED,public.verto_validate_push_policy_v309,DEFERRED_STRONGER_STREAM_310,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
CASH_REGISTER,cash_register,NONE_SESSION_310,DEFERRED_FAIL_CLOSED,STRONGER_STREAM_AUTHORITY_DEFERRED_310,cash_register,false,N/A,N/A,OWNER_310_STRONGER_PERMISSION_DEFERRED,public.verto_validate_push_policy_v309,DEFERRED_STRONGER_STREAM_310,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
CATEGORY,categories,public.verto_apply_sync_adapter_v309,SHADOW_FAIL_CLOSED_NO_APPLIED,verto_sync_snapshot_state.entity_version; legacy writer capture incomplete,categories,false,public.verto_append_sync_change,public.verto_upsert_sync_snapshot_state/public.verto_remove_sync_snapshot_state,active membership via verto_resolve_sync_scope; domain permission required before APPLIED,public.verto_validate_push_policy_v309,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
CLIENT_CREDIT,client_credits,NONE_SESSION_310,DEFERRED_FAIL_CLOSED,STRONGER_STREAM_AUTHORITY_DEFERRED_310,client_credits,false,N/A,N/A,OWNER_310_STRONGER_PERMISSION_DEFERRED,public.verto_validate_push_policy_v309,DEFERRED_STRONGER_STREAM_310,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
COMMISSION_PAYMENT,commission_payments,NONE_SESSION_310,DEFERRED_FAIL_CLOSED,STRONGER_STREAM_AUTHORITY_DEFERRED_310,commission_payments,false,N/A,N/A,OWNER_310_STRONGER_PERMISSION_DEFERRED,public.verto_validate_push_policy_v309,DEFERRED_STRONGER_STREAM_310,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
COST_ALLOCATION,cost_allocations,NONE_SESSION_310,DEFERRED_FAIL_CLOSED,STRONGER_STREAM_AUTHORITY_DEFERRED_310,cost_allocations,false,N/A,N/A,OWNER_310_STRONGER_PERMISSION_DEFERRED,public.verto_validate_push_policy_v309,DEFERRED_STRONGER_STREAM_310,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
CUSTOMER_PROFILE,clients|verto_upsert_client_v1,public.verto_apply_sync_adapter_v309,SHADOW_FAIL_CLOSED_NO_APPLIED,stronger/domain server state authority required before runtime cutover,clients|verto_upsert_client_v1,false,public.verto_append_sync_change,public.verto_upsert_sync_snapshot_state/public.verto_remove_sync_snapshot_state,active membership via verto_resolve_sync_scope; domain permission required before APPLIED,public.verto_validate_push_policy_v309,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
EDUCATIONAL_CONTENT,educational_topics|educational_topic_targets,public.verto_apply_sync_adapter_v309,SHADOW_FAIL_CLOSED_NO_APPLIED,verto_sync_snapshot_state.entity_version; legacy writer capture incomplete,educational_topics|educational_topic_targets,false,public.verto_append_sync_change,public.verto_upsert_sync_snapshot_state/public.verto_remove_sync_snapshot_state,active membership via verto_resolve_sync_scope; domain permission required before APPLIED,public.verto_validate_push_policy_v309,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
EXPENSE,expenses,NONE_SESSION_310,DEFERRED_FAIL_CLOSED,STRONGER_STREAM_AUTHORITY_DEFERRED_310,expenses,false,N/A,N/A,OWNER_310_STRONGER_PERMISSION_DEFERRED,public.verto_validate_push_policy_v309,DEFERRED_STRONGER_STREAM_310,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
GOODS_RECEIPT,goods_receipts|goods_receipt_lines|purchase_cycle_attachments|verto_purchase_cycle_push_pre_v253,NONE_SESSION_310,DEFERRED_FAIL_CLOSED,STRONGER_STREAM_AUTHORITY_DEFERRED_310,goods_receipts|goods_receipt_lines|purchase_cycle_attachments|verto_purchase_cycle_push_pre_v253,false,N/A,N/A,OWNER_310_STRONGER_PERMISSION_DEFERRED,public.verto_validate_push_policy_v309,DEFERRED_STRONGER_STREAM_310,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
INVENTORY_COST_REVISION,inventory_apply_cost_revisions_v2|inventory_pull_cost_revisions_v2,NONE_SESSION_310,DEFERRED_FAIL_CLOSED,STRONGER_STREAM_AUTHORITY_DEFERRED_310,inventory_apply_cost_revisions_v2|inventory_pull_cost_revisions_v2,false,N/A,N/A,OWNER_310_STRONGER_PERMISSION_DEFERRED,public.verto_validate_push_policy_v309,DEFERRED_STRONGER_STREAM_310,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
INVENTORY_ITEM,inventory_items|archive_inventory_item_v2,public.verto_apply_sync_adapter_v309,SHADOW_FAIL_CLOSED_NO_APPLIED,verto_sync_snapshot_state.entity_version; legacy writer capture incomplete,inventory_items|archive_inventory_item_v2,false,public.verto_append_sync_change,public.verto_upsert_sync_snapshot_state/public.verto_remove_sync_snapshot_state,active membership via verto_resolve_sync_scope; domain permission required before APPLIED,public.verto_validate_push_policy_v309,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
INVENTORY_MOVEMENT,inventory_apply_commands_v2|inventory_pull_movements_v2|inventory_prepare_reconciliation_batch_v2,NONE_SESSION_310,DEFERRED_FAIL_CLOSED,STRONGER_STREAM_AUTHORITY_DEFERRED_310,inventory_apply_commands_v2|inventory_pull_movements_v2|inventory_prepare_reconciliation_batch_v2,false,N/A,N/A,OWNER_310_STRONGER_PERMISSION_DEFERRED,public.verto_validate_push_policy_v309,DEFERRED_STRONGER_STREAM_310,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
INVENTORY_UNIT,inventory_units,public.verto_apply_sync_adapter_v309,SHADOW_FAIL_CLOSED_NO_APPLIED,verto_sync_snapshot_state.entity_version; legacy writer capture incomplete,inventory_units,false,public.verto_append_sync_change,public.verto_upsert_sync_snapshot_state/public.verto_remove_sync_snapshot_state,active membership via verto_resolve_sync_scope; domain permission required before APPLIED,public.verto_validate_push_policy_v309,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
INVOICE,invoices|invoice_items|financial_sync_apply_event_v1|financial_sync_pull_events_v1,NONE_SESSION_310,DEFERRED_FAIL_CLOSED,STRONGER_STREAM_AUTHORITY_DEFERRED_310,invoices|invoice_items|financial_sync_apply_event_v1|financial_sync_pull_events_v1,false,N/A,N/A,OWNER_310_STRONGER_PERMISSION_DEFERRED,public.verto_validate_push_policy_v309,DEFERRED_STRONGER_STREAM_310,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
ITEM_CATEGORY,item_categories,public.verto_apply_sync_adapter_v309,SHADOW_FAIL_CLOSED_NO_APPLIED,verto_sync_snapshot_state.entity_version; legacy writer capture incomplete,item_categories,false,public.verto_append_sync_change,public.verto_upsert_sync_snapshot_state/public.verto_remove_sync_snapshot_state,active membership via verto_resolve_sync_scope; domain permission required before APPLIED,public.verto_validate_push_policy_v309,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
NOTE,notes,public.verto_apply_sync_adapter_v309,SHADOW_FAIL_CLOSED_NO_APPLIED,verto_sync_snapshot_state.entity_version; legacy writer capture incomplete,notes,false,public.verto_append_sync_change,public.verto_upsert_sync_snapshot_state/public.verto_remove_sync_snapshot_state,active membership via verto_resolve_sync_scope; domain permission required before APPLIED,public.verto_validate_push_policy_v309,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
NOTIFICATION,get_my_notifications_cache,NONE,SERVER_OWNED_NO_CLIENT_WRITE,SERVER_AUTHORITY,get_my_notifications_cache,server_owned,N/A,N/A,SERVER_PRODUCER_ONLY,public.verto_validate_push_policy_v309,SERVER_OWNED_NO_CLIENT_PUSH,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
OPTIMAL_FOLLOW_UP,optimal_sync_change_log|optimal_apply_sync_operation_v2|optimal_pull_sync_changes,NONE_SESSION_310,DEFERRED_FAIL_CLOSED,STRONGER_STREAM_AUTHORITY_DEFERRED_310,optimal_sync_change_log|optimal_apply_sync_operation_v2|optimal_pull_sync_changes,false,N/A,N/A,OWNER_310_STRONGER_PERMISSION_DEFERRED,public.verto_validate_push_policy_v309,DEFERRED_STRONGER_STREAM_310,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
OPTIMAL_MAINTENANCE,optimal_sync_change_log|optimal_apply_sync_operation_v2|optimal_pull_sync_changes,NONE_SESSION_310,DEFERRED_FAIL_CLOSED,STRONGER_STREAM_AUTHORITY_DEFERRED_310,optimal_sync_change_log|optimal_apply_sync_operation_v2|optimal_pull_sync_changes,false,N/A,N/A,OWNER_310_STRONGER_PERMISSION_DEFERRED,public.verto_validate_push_policy_v309,DEFERRED_STRONGER_STREAM_310,supabase/migrations/20260821123000_v309_verto_unified_sync_push.sql
