aggregate_id,migration_owner_session,conflict_policy,delete_policy,payload_version,local_outbox_source,producer_status_v307,server_paths,v309_server_adapter,server_version_authority,supported_push_operations,base_version_rule,idempotency_identity,request_hash_fields,change_append_behavior,snapshot_behavior,conflict_payload_behavior,client_push_status,legacy_server_write_capture_status,runtime_cutover_state,v309_status,evidence
BUDGET,307,OPTIMISTIC_VERSION,VERSIONED_DELETE,1,sync_outbox,MIGRATED_UNIFIED_OUTBOX,budgets,verto_apply_sync_adapter_v309 (explicit fail-closed shadow boundary),verto_sync_snapshot_state.entity_version; legacy writer capture incomplete,UPSERT|DELETE,null=create; exact current entity_version=update/delete; stale=>CONFLICT,organization_id + mutation_id,organization_id|mutation_id|aggregate_type|aggregate_id|operation_type|base_version|payload_version|canonical_jsonb_payload|command_batch_id|command_order|depends_on_mutation_id,verto_append_sync_change in APPLIED transaction; unreachable while v309 adapter fail-closed,verto_upsert/remove_sync_snapshot_state in APPLIED transaction; unreachable while v309 adapter fail-closed,authoritative snapshot payload + serverVersion; REQUIRES_REVIEW when stale under verified optimistic authority,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,INCOMPLETE_UNIFIED_LEGACY_CAPTURE,V2_OFF_LEGACY_DEFAULT,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,UnifiedSyncPushRegistry.kt|20260821123000_v309_verto_unified_sync_push.sql|VERTO_SYNC_PRODUCER_COVERAGE_v307.csv
CASH_MOVEMENT,310,APPEND_ONLY_IDEMPOTENT,NO_CLIENT_DELETE,1,specialized_owner310_or_legacy,MIGRATED_UNIFIED_OUTBOX,cash_register_movements,NONE_SESSION_310,STRONGER_STREAM_AUTHORITY_DEFERRED_310,UPSERT|COMMAND,DEFERRED_TO_310_STRONGER_SEMANTICS,STRONGER_STREAM_IDENTITY_DEFERRED_310,N/A_GENERIC_PUSH_BLOCKED,BLOCKED_BEFORE_GENERIC_APPLY,BLOCKED_BEFORE_GENERIC_APPLY,DEFERRED_TO_310,DEFERRED_STRONGER_STREAM_310,OWNER_310_NOT_MIGRATED,V2_OFF_LEGACY_DEFAULT,DEFERRED_STRONGER_STREAM_310,UnifiedSyncPushRegistry.kt|20260821123000_v309_verto_unified_sync_push.sql|VERTO_SYNC_PRODUCER_COVERAGE_v307.csv
CASH_RECONCILIATION,310,SEMANTIC_COMMAND,NO_CLIENT_DELETE,1,specialized_owner310_or_legacy,MIGRATED_UNIFIED_OUTBOX,cash_reconciliation_sessions|cash_denominations,NONE_SESSION_310,STRONGER_STREAM_AUTHORITY_DEFERRED_310,UPSERT|COMMAND,DEFERRED_TO_310_STRONGER_SEMANTICS,STRONGER_STREAM_IDENTITY_DEFERRED_310,N/A_GENERIC_PUSH_BLOCKED,BLOCKED_BEFORE_GENERIC_APPLY,BLOCKED_BEFORE_GENERIC_APPLY,DEFERRED_TO_310,DEFERRED_STRONGER_STREAM_310,OWNER_310_NOT_MIGRATED,V2_OFF_LEGACY_DEFAULT,DEFERRED_STRONGER_STREAM_310,UnifiedSyncPushRegistry.kt|20260821123000_v309_verto_unified_sync_push.sql|VERTO_SYNC_PRODUCER_COVERAGE_v307.csv
CASH_REGISTER,310,SERVER_AUTHORITATIVE,NO_CLIENT_DELETE,1,specialized_owner310_or_legacy,MIGRATED_UNIFIED_OUTBOX,cash_register,NONE_SESSION_310,STRONGER_STREAM_AUTHORITY_DEFERRED_310,UPSERT|COMMAND,DEFERRED_TO_310_STRONGER_SEMANTICS,STRONGER_STREAM_IDENTITY_DEFERRED_310,N/A_GENERIC_PUSH_BLOCKED,BLOCKED_BEFORE_GENERIC_APPLY,BLOCKED_BEFORE_GENERIC_APPLY,DEFERRED_TO_310,DEFERRED_STRONGER_STREAM_310,OWNER_310_NOT_MIGRATED,V2_OFF_LEGACY_DEFAULT,DEFERRED_STRONGER_STREAM_310,UnifiedSyncPushRegistry.kt|20260821123000_v309_verto_unified_sync_push.sql|VERTO_SYNC_PRODUCER_COVERAGE_v307.csv
CATEGORY,307,OPTIMISTIC_VERSION,VERSIONED_DELETE,1,sync_outbox,MIGRATED_UNIFIED_OUTBOX,categories,verto_apply_sync_adapter_v309 (explicit fail-closed shadow boundary),verto_sync_snapshot_state.entity_version; legacy writer capture incomplete,UPSERT|DELETE,null=create; exact current entity_version=update/delete; stale=>CONFLICT,organization_id + mutation_id,organization_id|mutation_id|aggregate_type|aggregate_id|operation_type|base_version|payload_version|canonical_jsonb_payload|command_batch_id|command_order|depends_on_mutation_id,verto_append_sync_change in APPLIED transaction; unreachable while v309 adapter fail-closed,verto_upsert/remove_sync_snapshot_state in APPLIED transaction; unreachable while v309 adapter fail-closed,authoritative snapshot payload + serverVersion; REQUIRES_REVIEW when stale under verified optimistic authority,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,INCOMPLETE_UNIFIED_LEGACY_CAPTURE,V2_OFF_LEGACY_DEFAULT,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,UnifiedSyncPushRegistry.kt|20260821123000_v309_verto_unified_sync_push.sql|VERTO_SYNC_PRODUCER_COVERAGE_v307.csv
CLIENT_CREDIT,310,APPEND_ONLY_IDEMPOTENT,NO_CLIENT_DELETE,1,specialized_owner310_or_legacy,MIGRATED_UNIFIED_OUTBOX|PRESERVED_STRONGER_OUTBOX,client_credits,NONE_SESSION_310,STRONGER_STREAM_AUTHORITY_DEFERRED_310,UPSERT|COMMAND,DEFERRED_TO_310_STRONGER_SEMANTICS,STRONGER_STREAM_IDENTITY_DEFERRED_310,N/A_GENERIC_PUSH_BLOCKED,BLOCKED_BEFORE_GENERIC_APPLY,BLOCKED_BEFORE_GENERIC_APPLY,DEFERRED_TO_310,DEFERRED_STRONGER_STREAM_310,OWNER_310_NOT_MIGRATED,V2_OFF_LEGACY_DEFAULT,DEFERRED_STRONGER_STREAM_310,UnifiedSyncPushRegistry.kt|20260821123000_v309_verto_unified_sync_push.sql|VERTO_SYNC_PRODUCER_COVERAGE_v307.csv
COMMISSION_PAYMENT,310,APPEND_ONLY_IDEMPOTENT,NO_CLIENT_DELETE,1,specialized_owner310_or_legacy,REMOTE_APPLY_NO_ENQUEUE,commission_payments,NONE_SESSION_310,STRONGER_STREAM_AUTHORITY_DEFERRED_310,UPSERT|COMMAND,DEFERRED_TO_310_STRONGER_SEMANTICS,STRONGER_STREAM_IDENTITY_DEFERRED_310,N/A_GENERIC_PUSH_BLOCKED,BLOCKED_BEFORE_GENERIC_APPLY,BLOCKED_BEFORE_GENERIC_APPLY,DEFERRED_TO_310,DEFERRED_STRONGER_STREAM_310,OWNER_310_NOT_MIGRATED,V2_OFF_LEGACY_DEFAULT,DEFERRED_STRONGER_STREAM_310,UnifiedSyncPushRegistry.kt|20260821123000_v309_verto_unified_sync_push.sql|VERTO_SYNC_PRODUCER_COVERAGE_v307.csv
COST_ALLOCATION,310,IMMUTABLE_REVISION,NO_CLIENT_DELETE,1,specialized_owner310_or_legacy,REMOTE_APPLY_NO_ENQUEUE,cost_allocations,NONE_SESSION_310,STRONGER_STREAM_AUTHORITY_DEFERRED_310,UPSERT|COMMAND,DEFERRED_TO_310_STRONGER_SEMANTICS,STRONGER_STREAM_IDENTITY_DEFERRED_310,N/A_GENERIC_PUSH_BLOCKED,BLOCKED_BEFORE_GENERIC_APPLY,BLOCKED_BEFORE_GENERIC_APPLY,DEFERRED_TO_310,DEFERRED_STRONGER_STREAM_310,OWNER_310_NOT_MIGRATED,V2_OFF_LEGACY_DEFAULT,DEFERRED_STRONGER_STREAM_310,UnifiedSyncPushRegistry.kt|20260821123000_v309_verto_unified_sync_push.sql|VERTO_SYNC_PRODUCER_COVERAGE_v307.csv
CUSTOMER_PROFILE,307,BRIDGE_EXISTING_STRONGER_CONTRACT,TOMBSTONE,2,sync_outbox,MIGRATED_UNIFIED_OUTBOX,clients|verto_upsert_client_v1,verto_apply_sync_adapter_v309 (explicit fail-closed shadow boundary),stronger/domain server state authority required before runtime cutover,UPSERT|DELETE,domain/state-machine/bridge validation required server-side,organization_id + mutation_id,organization_id|mutation_id|aggregate_type|aggregate_id|operation_type|base_version|payload_version|canonical_jsonb_payload|command_batch_id|command_order|depends_on_mutation_id,verto_append_sync_change in APPLIED transaction; unreachable while v309 adapter fail-closed,verto_upsert/remove_sync_snapshot_state in APPLIED transaction; unreachable while v309 adapter fail-closed,authoritative snapshot payload + serverVersion; REQUIRES_REVIEW when stale under verified optimistic authority,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,INCOMPLETE_UNIFIED_LEGACY_CAPTURE,V2_OFF_LEGACY_DEFAULT,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,UnifiedSyncPushRegistry.kt|20260821123000_v309_verto_unified_sync_push.sql|VERTO_SYNC_PRODUCER_COVERAGE_v307.csv
EDUCATIONAL_CONTENT,307,OPTIMISTIC_VERSION,VERSIONED_DELETE,1,sync_outbox,MIGRATED_UNIFIED_OUTBOX|REMOTE_APPLY_NO_ENQUEUE,educational_topics|educational_topic_targets,verto_apply_sync_adapter_v309 (explicit fail-closed shadow boundary),verto_sync_snapshot_state.entity_version; legacy writer capture incomplete,UPSERT|DELETE,null=create; exact current entity_version=update/delete; stale=>CONFLICT,organization_id + mutation_id,organization_id|mutation_id|aggregate_type|aggregate_id|operation_type|base_version|payload_version|canonical_jsonb_payload|command_batch_id|command_order|depends_on_mutation_id,verto_append_sync_change in APPLIED transaction; unreachable while v309 adapter fail-closed,verto_upsert/remove_sync_snapshot_state in APPLIED transaction; unreachable while v309 adapter fail-closed,authoritative snapshot payload + serverVersion; REQUIRES_REVIEW when stale under verified optimistic authority,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,INCOMPLETE_UNIFIED_LEGACY_CAPTURE,V2_OFF_LEGACY_DEFAULT,SHADOW_PUSH_ONLY_NOT_RUNTIME_SAFE,UnifiedSyncPushRegistry.kt|20260821123000_v309_verto_unified_sync_push.sql|VERTO_SYNC_PRODUCER_COVERAGE_v307.csv
