aggregate_id,participant_key,current_producer,producer_kind,local_tables,current_outbox_or_dirty_mechanism,current_server_tables_or_rpc,delete_path,payload_version,conflict_policy,delete_policy,attachment_policy,current_cursor_kind,migration_owner_session,coverage_status,evidence_path,evidence_symbol,notes
BUDGET,cash,cash / SyncCash,LEGACY_SYNC,budgets,full snapshot + DataStore deletion queue,budgets,DataStore pending budget deletion,1,OPTIMISTIC_VERSION,VERSIONED_DELETE,NONE,LEGACY_TIMESTAMP_UPDATED_AT_OR_DATASTORE_MARKER,307,DEFERRED_WITH_OWNER,data/network/src/main/kotlin/com/verto/app/data/sync/SyncCash.kt,pushBudgets|pushBudgetDeletions|pullBudgets,
CASH_MOVEMENT,cash,cash / SyncCash,LEGACY_SYNC,cash_register_movements,legacy direct/snapshot sync,cash_register_movements,NO_CLIENT_DELETE,1,APPEND_ONLY_IDEMPOTENT,NO_CLIENT_DELETE,NONE,LEGACY_TIMESTAMP_UPDATED_AT_OR_DATASTORE_MARKER,310,DEFERRED_WITH_OWNER,data/network/src/main/kotlin/com/verto/app/data/sync/SyncCash.kt,pushCashMovements|pullCashMovements,
CASH_RECONCILIATION,cash,cash / SyncCash,LEGACY_SYNC,cash_reconciliation_sessions|cash_denominations,legacy direct/snapshot sync,cash_reconciliation_sessions|cash_denominations,DataStore pending reconciliation deletion,1,SEMANTIC_COMMAND,NO_CLIENT_DELETE,NONE,FULL_SNAPSHOT_OR_NO_CURSOR,310,DEFERRED_WITH_OWNER,data/network/src/main/kotlin/com/verto/app/data/sync/SyncCash.kt,pushCashReconciliations|pushCashDenominations|pullCashReconciliations,
CASH_REGISTER,cash,cash / SyncCash,LEGACY_SYNC,cash_register,legacy direct/snapshot sync,cash_register,NO_CLIENT_DELETE,1,SERVER_AUTHORITATIVE,NO_CLIENT_DELETE,NONE,FULL_SNAPSHOT_OR_NO_CURSOR,310,DEFERRED_WITH_OWNER,data/network/src/main/kotlin/com/verto/app/data/sync/SyncCash.kt,pushCashRegister|pullCashRegister,
CATEGORY,inventory,inventory / SyncInventory,LEGACY_SYNC,categories,full snapshot + DataStore deletion queue,categories,DataStore pending category deletion,1,OPTIMISTIC_VERSION,VERSIONED_DELETE,NONE,LEGACY_TIMESTAMP_UPDATED_AT_OR_DATASTORE_MARKER,307,DEFERRED_WITH_OWNER,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventory.kt,pushCategories|pushCategoryDeletions|pullCategories,
CLIENT_CREDIT,invoices,invoices / SyncClientCredits,LEGACY_SYNC,client_credits,isDirty snapshot,client_credits,NO_CLIENT_DELETE,1,APPEND_ONLY_IDEMPOTENT,NO_CLIENT_DELETE,NONE,LEGACY_TIMESTAMP_UPDATED_AT_OR_DATASTORE_MARKER,310,LEGACY_DIRTY_PATH,data/network/src/main/kotlin/com/verto/app/data/sync/SyncClientCredits.kt,pushClientCredits|pullClientCredits,
COMMISSION_PAYMENT,cash,cash / pullCommissions,READ_ONLY|SERVER_DERIVED,commission_payments,legacy direct/snapshot sync,commission_payments,NO_CLIENT_DELETE,1,APPEND_ONLY_IDEMPOTENT,NO_CLIENT_DELETE,NONE,LEGACY_TIMESTAMP_UPDATED_AT_OR_DATASTORE_MARKER,310,READ_ONLY,data/network/src/main/kotlin/com/verto/app/data/sync/SyncMisc.kt,pullCommissions,
COST_ALLOCATION,inventory,inventory / SyncCash cost allocations,LEGACY_SYNC,cost_allocations,legacy direct/snapshot sync,cost_allocations,NO_CLIENT_DELETE,1,IMMUTABLE_REVISION,NO_CLIENT_DELETE,NONE,FULL_SNAPSHOT_OR_NO_CURSOR,310,DEFERRED_WITH_OWNER,data/network/src/main/kotlin/com/verto/app/data/sync/SyncCash.kt,pushCostAllocations|pullCostAllocations,
CUSTOMER_PROFILE,clients,clients / Party normalized contract,LEGACY_SYNC,customer_profiles,party_sync_outbox + Party contract v2; legacy clients participant coexists,clients|verto_upsert_client_v1,legacy Party TOMBSTONE / unified DELETE mapping,2,BRIDGE_EXISTING_STRONGER_CONTRACT,TOMBSTONE,NONE,LEGACY_TIMESTAMP_UPDATED_AT_OR_DATASTORE_MARKER,307,VERIFIED_STRONGER_EXISTING_CONTRACT,data/database/src/main/kotlin/com/verto/app/data/local/entity/PartyNormalizedEntities.kt|data/network/src/main/kotlin/com/verto/app/data/sync/PartySyncV2Contract.kt,CustomerProfileEntity|PartyMutationV2,
EDUCATIONAL_CONTENT,educational_content,educational_content / EducationalContentSyncParticipant,UI_REPOSITORY|LEGACY_SYNC,educational_topics|educational_topic_targets,isDirty/deletedAt then markClean/hardDelete,educational_topics|educational_topic_targets,deletedAt dirty marker -> remote delete -> hardDelete,1,OPTIMISTIC_VERSION,VERSIONED_DELETE,NONE,FULL_SNAPSHOT_OR_NO_CURSOR,307,DEFERRED_WITH_OWNER,feature/dashboard/src/main/kotlin/com/verto/app/feature/dashboard/data/education/EducationalContentSyncParticipant.kt,pushTopics|pushDeletions|pullTopics,
EXPENSE,cash,cash / SyncMisc,LEGACY_SYNC,expenses,isDirty + DataStore deletion queue,expenses,DataStore pending expense deletion,1,SEMANTIC_COMMAND,VOID_OR_REVERSE,NONE,LEGACY_TIMESTAMP_UPDATED_AT_OR_DATASTORE_MARKER,310,LEGACY_DIRTY_PATH,data/network/src/main/kotlin/com/verto/app/data/sync/SyncMisc.kt,pushExpenses|pushExpenseDeletions|pullExpenses,
GOODS_RECEIPT,invoices,invoices / purchase cycle,LEGACY_SYNC,goods_receipts|goods_receipt_lines|purchase_cycle_attachments,legacy direct/snapshot sync,goods_receipts|goods_receipt_lines|purchase_cycle_attachments|verto_purchase_cycle_push_pre_v253,NO_CLIENT_DELETE,1,SEMANTIC_COMMAND,NO_CLIENT_DELETE,METADATA_ONLY_EXTERNAL_BINARY,FULL_SNAPSHOT_OR_NO_CURSOR,310,DEFERRED_WITH_OWNER,data/network/src/main/kotlin/com/verto/app/data/sync/SyncPurchaseCycle.kt,pushPurchaseCyclePreInvoices|pullPurchaseCyclePreInvoices,
INVENTORY_COST_REVISION,inventory,inventory / inventory_cost_outbox,LEGACY_SYNC,inventory_cost_revisions|inventory_cost_outbox,inventory_cost_outbox + revision cursor,inventory_apply_cost_revisions_v2|inventory_pull_cost_revisions_v2,NO_CLIENT_DELETE,1,IMMUTABLE_REVISION,NO_CLIENT_DELETE,NONE,SERVER_REVISION_CURSOR_IN_INVENTORY_SYNC_STATE,310,VERIFIED_STRONGER_EXISTING_CONTRACT,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventoryLedgerV2.kt,pushInventoryCostRevisions|pullInventoryCostRevisions,
INVENTORY_ITEM,inventory,inventory / SyncInventory,LEGACY_SYNC,inventory_items,isDirty/archive + DataStore deletion queue,inventory_items|archive_inventory_item_v2,archive_inventory_item_v2 + pending deletion queue,1,OPTIMISTIC_VERSION,ARCHIVE,NONE,LEGACY_TIMESTAMP_UPDATED_AT_OR_DATASTORE_MARKER,307,LEGACY_DIRTY_PATH,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventory.kt,pushInventoryItems|pushInventoryDeletions|pullInventoryItems,
INVENTORY_MOVEMENT,inventory,inventory / inventory_stock_outbox,LEGACY_SYNC,inventory_movements|inventory_stock_outbox,inventory_stock_outbox + revision cursor,inventory_apply_commands_v2|inventory_pull_movements_v2|inventory_prepare_reconciliation_batch_v2,NO_CLIENT_DELETE,1,APPEND_ONLY_IDEMPOTENT,NO_CLIENT_DELETE,NONE,SERVER_REVISION_CURSOR_IN_INVENTORY_SYNC_STATE,310,VERIFIED_STRONGER_EXISTING_CONTRACT,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventoryLedgerV2.kt|data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventoryReconciliation.kt,pushInventoryMovements|pullInventoryMovements|prepareReconciliationBatch,
