aggregate_id,conflict_policy,delete_policy,local_authority,business_identity,legacy_server_paths,stronger_server_authority,v310_adapter,permission_authority,idempotency_authority,version_or_sequence_authority,unified_change_behavior,unified_receipt_behavior,transaction_group_behavior,snapshot_behavior,pull_apply_adapter,runtime_cutover_state,v310_status,evidence
INVOICE,SEMANTIC_COMMAND,VOID_OR_REVERSE,financial_outbox,event_id/write_id,preserved compatibility path; not V2 authority,financial_sync_apply_event_v1,verto_apply_stronger_sync_adapter_v310,authenticated active Verto organization / domain guard,event_id/write_id,financial aggregate sequence,append once on accepted semantic effect; replay appends none,immutable terminal receipt; retryable non-terminal,same PostgreSQL transaction; secondary changes grouped with primary,NO_SNAPSHOT_LEDGER_FACT,financial_inbox/REMOTE_APPLY,V2_OFF_SHADOW,STRONGER_BRIDGE_READY_SHADOW,data/network/src/main/kotlin/com/verto/app/data/sync/SyncFinancialEvents.kt; data/local financial outbox
PAYMENT,APPEND_ONLY_IDEMPOTENT,VOID_OR_REVERSE,financial_outbox,event_id/write_id,preserved compatibility path; not V2 authority,financial_sync_apply_event_v1,verto_apply_stronger_sync_adapter_v310,authenticated active Verto organization / domain guard,event_id/write_id,financial aggregate sequence,append once on accepted semantic effect; replay appends none,immutable terminal receipt; retryable non-terminal,same PostgreSQL transaction; secondary changes grouped with primary,NO_SNAPSHOT_LEDGER_FACT,financial_inbox/REMOTE_APPLY,V2_OFF_SHADOW,STRONGER_BRIDGE_READY_SHADOW,data/network/src/main/kotlin/com/verto/app/data/sync/SyncFinancialEvents.kt
CLIENT_CREDIT,APPEND_ONLY_IDEMPOTENT,NO_CLIENT_DELETE,client_credits immutable row,credit_id,preserved compatibility path; not V2 authority,verto_apply_client_credit_v310,verto_apply_stronger_sync_adapter_v310,authenticated active Verto organization / domain guard,credit_id,domain identity/sequence; unified revision separate,append once on accepted semantic effect; replay appends none,immutable terminal receipt; retryable non-terminal,same PostgreSQL transaction; secondary changes grouped with primary,IMMUTABLE_EVENT_SNAPSHOT,UnifiedStrongerSyncChangeApplier,V2_OFF_SHADOW,STRONGER_BRIDGE_READY_SHADOW,data/database client credit DAO/entity; v310 server adapter
GOODS_RECEIPT,SEMANTIC_COMMAND,NO_CLIENT_DELETE,purchase-cycle immutable fact,write_id/receipt_id,preserved compatibility path; not V2 authority,verto_purchase_cycle_push_pre_v253,verto_apply_stronger_sync_adapter_v310,authenticated active Verto organization / domain guard,write_id/receipt_id,domain identity/sequence; unified revision separate,append once on accepted semantic effect; replay appends none,immutable terminal receipt; retryable non-terminal,same PostgreSQL transaction; secondary changes grouped with primary,IMMUTABLE_EVENT_SNAPSHOT,PurchaseCycleDao.applyRemotePreCycle,V2_OFF_SHADOW,STRONGER_BRIDGE_READY_SHADOW,docs/sql purchase cycle; PurchaseCycleDao
PURCHASE_MATCH,SEMANTIC_COMMAND,NO_CLIENT_DELETE,purchase-cycle immutable fact,write_id/match_id,preserved compatibility path; not V2 authority,verto_purchase_cycle_push_post_v253,verto_apply_stronger_sync_adapter_v310,authenticated active Verto organization / domain guard,write_id/match_id,domain identity/sequence; unified revision separate,append once on accepted semantic effect; replay appends none,immutable terminal receipt; retryable non-terminal,same PostgreSQL transaction; secondary changes grouped with primary,IMMUTABLE_EVENT_SNAPSHOT,PurchaseCycleDao.applyRemotePostCycle,V2_OFF_SHADOW,STRONGER_BRIDGE_READY_SHADOW,docs/sql purchase cycle; PurchaseCycleDao
PURCHASE_PAYMENT_OVERRIDE,SEMANTIC_COMMAND,NO_CLIENT_DELETE,purchase-cycle immutable fact,request_id/write_id,preserved compatibility path; not V2 authority,verto_purchase_cycle_push_post_v253,verto_apply_stronger_sync_adapter_v310,authenticated active Verto organization / domain guard,request_id/write_id,domain identity/sequence; unified revision separate,append once on accepted semantic effect; replay appends none,immutable terminal receipt; retryable non-terminal,same PostgreSQL transaction; secondary changes grouped with primary,IMMUTABLE_EVENT_SNAPSHOT,PurchaseCycleDao.applyRemotePostCycle,V2_OFF_SHADOW,STRONGER_BRIDGE_READY_SHADOW,docs/sql purchase cycle; PurchaseCycleDao
INVENTORY_MOVEMENT,APPEND_ONLY_IDEMPOTENT,NO_CLIENT_DELETE,inventory_stock_outbox,movement_id/command_id/idempotency_key,preserved compatibility path; not V2 authority,inventory_apply_commands_v2,verto_apply_stronger_sync_adapter_v310,authenticated active Verto organization / domain guard,movement_id/command_id/idempotency_key,domain identity/sequence; unified revision separate,append once on accepted semantic effect; replay appends none,immutable terminal receipt; retryable non-terminal,same PostgreSQL transaction; secondary changes grouped with primary,NO_SNAPSHOT_LEDGER_FACT,InventoryDao.applyPulledInventoryMovements,V2_OFF_SHADOW,STRONGER_BRIDGE_READY_SHADOW,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventoryLedgerV2.kt; docs/sql/v262_inventory_atomic_sync.sql
INVENTORY_COST_REVISION,IMMUTABLE_REVISION,NO_CLIENT_DELETE,inventory_cost_outbox,cost_revision_id/command_id/idempotency_key,preserved compatibility path; not V2 authority,inventory_apply_cost_revisions_v2,verto_apply_stronger_sync_adapter_v310,authenticated active Verto organization / domain guard,cost_revision_id/command_id/idempotency_key,domain identity/sequence; unified revision separate,append once on accepted semantic effect; replay appends none,immutable terminal receipt; retryable non-terminal,same PostgreSQL transaction; secondary changes grouped with primary,NO_SNAPSHOT_LEDGER_FACT,InventoryDao.applyPulledInventoryCostRevisions,V2_OFF_SHADOW,STRONGER_BRIDGE_READY_SHADOW,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventoryLedgerV2.kt; docs/sql/v262_inventory_atomic_sync.sql
COST_ALLOCATION,IMMUTABLE_REVISION,NO_CLIENT_DELETE,cost_allocations immutable row,allocation_id,preserved compatibility path; not V2 authority,verto_apply_cost_allocation_v310,verto_apply_stronger_sync_adapter_v310,authenticated active Verto organization / domain guard,allocation_id,domain identity/sequence; unified revision separate,append once on accepted semantic effect; replay appends none,immutable terminal receipt; retryable non-terminal,same PostgreSQL transaction; secondary changes grouped with primary,IMMUTABLE_EVENT_SNAPSHOT,UnifiedStrongerSyncChangeApplier,V2_OFF_SHADOW,STRONGER_BRIDGE_READY_SHADOW,data/database/src/main/kotlin/com/verto/app/data/local/dao/CostAllocationDao.kt
EXPENSE,SEMANTIC_COMMAND,VOID_OR_REVERSE,expenses lifecycle row,expense_id/reversal_write_id,preserved compatibility path; not V2 authority,verto_apply_expense_command_v310,verto_apply_stronger_sync_adapter_v310,authenticated active Verto organization / domain guard,expense_id/reversal_write_id,domain identity/sequence; unified revision separate,append once on accepted semantic effect; replay appends none,immutable terminal receipt; retryable non-terminal,same PostgreSQL transaction; secondary changes grouped with primary,DOMAIN_MATERIALIZATION_ONLY,UnifiedStrongerSyncChangeApplier,V2_OFF_SHADOW,STRONGER_BRIDGE_READY_SHADOW,data/database/src/main/kotlin/com/verto/app/data/local/dao/ExpenseDao.kt
