source_id,source_type,call_site,current_behavior_v310,v311_entry_point,generation_incremented,work_wake_policy,tenant_scope,session_epoch_checked,can_arrive_during_active_worker,lost_intent_prevention,runtime_state,evidence
home_refresh,manual,app/.../HomeViewModel.kt:201,direct fullSync,SyncManager.requestOrRun,conditional-v2,APPEND_OR_REPLACE,org+user,yes,yes,generation before wake,legacy-default,app/.../HomeViewModel.kt:201
home_retry,foreground,app/.../HomeViewModel.kt:209,direct fullSync,SyncManager.requestOrRun,conditional-v2,APPEND_OR_REPLACE,org+user,yes,yes,generation before wake,legacy-default,app/.../HomeViewModel.kt:209
invoice_presentation,manual,app/.../InvoicePresentationBridge.kt:145,direct fullSync,SyncManager.requestOrRun,conditional-v2,APPEND_OR_REPLACE,org+user,yes,yes,generation before wake,legacy-default,app/.../InvoicePresentationBridge.kt:145
settings_manual,manual,app/.../SettingsOperationsGatewayAdapter.kt:57,direct fullSync,SyncManager.requestOrRun,conditional-v2,APPEND_OR_REPLACE,org+user,yes,yes,generation before wake,legacy-default,app/.../SettingsOperationsGatewayAdapter.kt:57
settings_restore,startup,app/.../SettingsOperationsGatewayAdapter.kt:92,direct fullSync,SyncManager.requestOrRun,conditional-v2,APPEND_OR_REPLACE,org+user,yes,yes,generation before wake,legacy-default,app/.../SettingsOperationsGatewayAdapter.kt:92
sync_operations,manual,data/sync/.../SyncOperations.kt:29,direct fullSync,SyncManager.requestOrRun,conditional-v2,APPEND_OR_REPLACE,org+user,yes,yes,compatibility wrapper,legacy-default,data/sync/.../SyncOperations.kt:29
party_presentation,manual,feature/party/.../PartyPresentationAdapter.kt:98,direct fullSync,SyncManager.requestOrRun,conditional-v2,APPEND_OR_REPLACE,org+user,yes,yes,compatibility wrapper,legacy-default,feature/party/.../PartyPresentationAdapter.kt:98
optimal_immediate,outbox_write,app/.../OptimalSyncBridge.kt:33,SyncWorker.syncNow KEEP,SyncManager.requestSync,yes,APPEND_OR_REPLACE,org+user,yes,yes,durable generation,shadow-ready,app/.../OptimalSyncBridge.kt:33
invoice_post_commit,outbox_write,feature/invoice/.../InvoicePostCommitEffects.kt,Optimal immediate,WorkManagerOptimalSyncScheduler,yes,APPEND_OR_REPLACE,org+user,yes,yes,scheduler routes to requestSync,shadow-ready,feature/invoice/.../InvoicePostCommitEffects.kt
realtime,realtime,data/sync/.../RealtimeManager.kt:46,drop while syncInProgress,SyncManager.triggerPull,yes,APPEND_OR_REPLACE,trusted current,yes,yes,active drain no longer suppression authority,flag-off,data/sync/.../RealtimeManager.kt:46
periodic,periodic,data/sync/.../SyncWorker.kt,periodic KEEP wake,ensurePeriodicIntent,yes,periodic KEEP + immediate APPEND_OR_REPLACE,org+user,yes,yes,periodic creates durable invocation generation,legacy-default,data/sync/.../SyncWorker.kt
auth_login,startup,app/.../DefaultAuthSessionCoordinator.kt,immediate current session,Optimal scheduler -> requestSync,conditional-v2,APPEND_OR_REPLACE,trusted current,yes,yes,epoch activated before scheduling,legacy-default,app/.../DefaultAuthSessionCoordinator.kt
auth_restore,startup,app/.../DefaultAuthSessionCoordinator.kt,initial immediate,Optimal scheduler -> requestSync,conditional-v2,APPEND_OR_REPLACE,trusted current,yes,yes,epoch activated before scheduling,legacy-default,app/.../DefaultAuthSessionCoordinator.kt
