aggregate_id,conflict_policy,delete_policy,local_authority,business_identity,push_mapping,pull_mapping,receipt_mapping,snapshot_policy,runtime_state,v310_status,evidence
INVOICE,SEMANTIC_COMMAND,VOID_OR_REVERSE,financial_outbox,event_id/write_id,FINANCIAL_EVENT,financial_inbox/REMOTE_APPLY,UNIFIED_RECEIPT+FINANCIAL_IDENTITY,NO_SNAPSHOT_LEDGER_FACT,STRONGER_BRIDGE_READY_SHADOW,STRONGER_BRIDGE_READY_SHADOW,data/network/src/main/kotlin/com/verto/app/data/sync/SyncFinancialEvents.kt; data/local financial outbox
PAYMENT,APPEND_ONLY_IDEMPOTENT,VOID_OR_REVERSE,financial_outbox,event_id/write_id,FINANCIAL_EVENT,financial_inbox/REMOTE_APPLY,UNIFIED_RECEIPT+FINANCIAL_IDENTITY,NO_SNAPSHOT_LEDGER_FACT,STRONGER_BRIDGE_READY_SHADOW,STRONGER_BRIDGE_READY_SHADOW,data/network/src/main/kotlin/com/verto/app/data/sync/SyncFinancialEvents.kt
CLIENT_CREDIT,APPEND_ONLY_IDEMPOTENT,NO_CLIENT_DELETE,client_credits immutable row,credit_id,APPEND_ONLY_COMMAND,UnifiedStrongerSyncChangeApplier,UNIFIED_RECEIPT,IMMUTABLE_EVENT_SNAPSHOT,STRONGER_BRIDGE_READY_SHADOW,STRONGER_BRIDGE_READY_SHADOW,data/database client credit DAO/entity; v310 server adapter
GOODS_RECEIPT,SEMANTIC_COMMAND,NO_CLIENT_DELETE,purchase-cycle immutable fact,write_id/receipt_id,PURCHASE_COMMAND,PurchaseCycleDao.applyRemotePreCycle,UNIFIED_RECEIPT,IMMUTABLE_EVENT_SNAPSHOT,STRONGER_BRIDGE_READY_SHADOW,STRONGER_BRIDGE_READY_SHADOW,docs/sql purchase cycle; PurchaseCycleDao
PURCHASE_MATCH,SEMANTIC_COMMAND,NO_CLIENT_DELETE,purchase-cycle immutable fact,write_id/match_id,PURCHASE_COMMAND,PurchaseCycleDao.applyRemotePostCycle,UNIFIED_RECEIPT,IMMUTABLE_EVENT_SNAPSHOT,STRONGER_BRIDGE_READY_SHADOW,STRONGER_BRIDGE_READY_SHADOW,docs/sql purchase cycle; PurchaseCycleDao
PURCHASE_PAYMENT_OVERRIDE,SEMANTIC_COMMAND,NO_CLIENT_DELETE,purchase-cycle immutable fact,request_id/write_id,PURCHASE_COMMAND,PurchaseCycleDao.applyRemotePostCycle,UNIFIED_RECEIPT,IMMUTABLE_EVENT_SNAPSHOT,STRONGER_BRIDGE_READY_SHADOW,STRONGER_BRIDGE_READY_SHADOW,docs/sql purchase cycle; PurchaseCycleDao
INVENTORY_MOVEMENT,APPEND_ONLY_IDEMPOTENT,NO_CLIENT_DELETE,inventory_stock_outbox,movement_id/command_id/idempotency_key,INVENTORY_COMMAND,InventoryDao.applyPulledInventoryMovements,UNIFIED_RECEIPT+SERVER_SEQUENCE,NO_SNAPSHOT_LEDGER_FACT,STRONGER_BRIDGE_READY_SHADOW,STRONGER_BRIDGE_READY_SHADOW,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventoryLedgerV2.kt; docs/sql/v262_inventory_atomic_sync.sql
INVENTORY_COST_REVISION,IMMUTABLE_REVISION,NO_CLIENT_DELETE,inventory_cost_outbox,cost_revision_id/command_id/idempotency_key,INVENTORY_COST_COMMAND,InventoryDao.applyPulledInventoryCostRevisions,UNIFIED_RECEIPT+COST_SEQUENCE,NO_SNAPSHOT_LEDGER_FACT,STRONGER_BRIDGE_READY_SHADOW,STRONGER_BRIDGE_READY_SHADOW,data/network/src/main/kotlin/com/verto/app/data/sync/SyncInventoryLedgerV2.kt; docs/sql/v262_inventory_atomic_sync.sql
COST_ALLOCATION,IMMUTABLE_REVISION,NO_CLIENT_DELETE,cost_allocations immutable row,allocation_id,IMMUTABLE_REVISION_COMMAND,UnifiedStrongerSyncChangeApplier,UNIFIED_RECEIPT,IMMUTABLE_EVENT_SNAPSHOT,STRONGER_BRIDGE_READY_SHADOW,STRONGER_BRIDGE_READY_SHADOW,data/database/src/main/kotlin/com/verto/app/data/local/dao/CostAllocationDao.kt
EXPENSE,SEMANTIC_COMMAND,VOID_OR_REVERSE,expenses lifecycle row,expense_id/reversal_write_id,SEMANTIC_COMMAND,UnifiedStrongerSyncChangeApplier,UNIFIED_RECEIPT,DOMAIN_MATERIALIZATION_ONLY,STRONGER_BRIDGE_READY_SHADOW,STRONGER_BRIDGE_READY_SHADOW,data/database/src/main/kotlin/com/verto/app/data/local/dao/ExpenseDao.kt
CASH_REGISTER,SERVER_AUTHORITATIVE,NO_CLIENT_DELETE,server read model,organization_id/register_id,NO_CLIENT_PUSH,UnifiedStrongerSyncChangeApplier,SERVER_AUTHORITATIVE,SERVER_AUTH_CURRENT_STATE,SERVER_AUTHORITATIVE_NO_CLIENT_PUSH,SERVER_AUTHORITATIVE_NO_CLIENT_PUSH,data/database/src/main/kotlin/com/verto/app/data/local/dao/CashRegisterDao.kt
CASH_MOVEMENT,APPEND_ONLY_IDEMPOTENT,NO_CLIENT_DELETE,cash movement immutable row,write_id/movement_id,APPEND_ONLY_COMMAND,UnifiedStrongerSyncChangeApplier,UNIFIED_RECEIPT,NO_SNAPSHOT_LEDGER_FACT,STRONGER_BRIDGE_READY_SHADOW,STRONGER_BRIDGE_READY_SHADOW,data/database/src/main/kotlin/com/verto/app/data/local/dao/CashRegisterDao.kt
CASH_RECONCILIATION,SEMANTIC_COMMAND,NO_CLIENT_DELETE,cash reconciliation state machine,reconciliation_id/command,SEMANTIC_COMMAND,UnifiedStrongerSyncChangeApplier,UNIFIED_RECEIPT,DOMAIN_MATERIALIZATION_ONLY,STRONGER_BRIDGE_READY_SHADOW,STRONGER_BRIDGE_READY_SHADOW,data/database cash reconciliation DAO; v310 server adapter
COMMISSION_PAYMENT,APPEND_ONLY_IDEMPOTENT,NO_CLIENT_DELETE,server read model,client_request_id/payment_id,NO_CLIENT_PUSH,UnifiedStrongerSyncChangeApplier,SERVER_AUTHORITATIVE,IMMUTABLE_EVENT_SNAPSHOT,SERVER_AUTHORITATIVE_NO_CLIENT_PUSH,SERVER_AUTHORITATIVE_NO_CLIENT_PUSH,commission payment DAO; server-owned authority
OPTIMAL_VEHICLE,BRIDGE_EXISTING_STRONGER_CONTRACT,SERVER_OWNED,optimal_outbox,event_id/idempotency_key,OPTIMAL_STRONGER_OPERATION,UnifiedStrongerSyncChangeApplier,UNIFIED_RECEIPT+OPTIMAL_RESULT,DOMAIN_MATERIALIZATION_ONLY,PRESERVED_EXISTING_STRONGER_RUNTIME,PRESERVED_EXISTING_STRONGER_RUNTIME,feature/integration/optimal/RoomOptimalOutboxRepository.kt; OptimalOutboxSyncParticipant.kt
OPTIMAL_MAINTENANCE,BRIDGE_EXISTING_STRONGER_CONTRACT,NO_CLIENT_DELETE,optimal_outbox,event_id/idempotency_key,OPTIMAL_STRONGER_OPERATION,UnifiedStrongerSyncChangeApplier,UNIFIED_RECEIPT+OPTIMAL_RESULT,DOMAIN_MATERIALIZATION_ONLY,PRESERVED_EXISTING_STRONGER_RUNTIME,PRESERVED_EXISTING_STRONGER_RUNTIME,feature/integration/optimal/RoomOptimalOutboxRepository.kt; OptimalOutboxSyncParticipant.kt
OPTIMAL_FOLLOW_UP,BRIDGE_EXISTING_STRONGER_CONTRACT,NO_CLIENT_DELETE,optimal_outbox,event_id/idempotency_key,OPTIMAL_STRONGER_OPERATION,UnifiedStrongerSyncChangeApplier,UNIFIED_RECEIPT+OPTIMAL_RESULT,DOMAIN_MATERIALIZATION_ONLY,PRESERVED_EXISTING_STRONGER_RUNTIME,PRESERVED_EXISTING_STRONGER_RUNTIME,feature/integration/optimal/RoomOptimalOutboxRepository.kt; OptimalOutboxSyncParticipant.kt
